學年度,學期別,課號,永久課號,課程名稱,人數上限,上課時間,上課教室,學分,時數,開課教師,所屬系所名稱,選別,開課系所
101,1,5632,IIM5352,習慣領域與決策,9999,5IJK,MB311,3,3,游伯龍,資訊管理研究所,選修,管理學院碩士在職專班-資管組
101,1,5633,IIM5505,資訊安全,9999,2IJK,MB311,3,3,羅濟群,資訊管理研究所,選修,管理學院碩士在職專班-資管組
101,1,5634,IIM5550,管理資訊系統,9999,4IJK,MB312,3,3,李永銘,資訊管理研究所,選修,管理學院碩士在職專班-資管組
101,1,5635,IIM5841,智慧型管理決策系統,9999,5IJK,MB312,3,3,陳安斌,資訊管理研究所,選修,管理學院碩士在職專班-資管組
101,1,5636,IIM6681,資訊創業,9999,3IJK,MB311,3,3,王蕙芝,資訊管理與財務金融系,選修,管理學院碩士在職專班-資管組
101,1,5637,ITM5081,科技管理,9999,2IJK,A722,3,3,袁建中,科技管理研究所,選修,管理學院碩士在職專班-科管組
101,1,5638,ITM5114,鑑識與安全科技管理概論,9999,4IJK,A308,3,3,李承龍,科技管理研究所,選修,管理學院碩士在職專班-科管組
101,1,5640,ITM5131,科技策略與創新,9999,3IJK,A722,3,3,黃仕斌,科技管理研究所,選修,管理學院碩士在職專班-科管組
101,1,5641,ITM5307,行銷管理,9999,1IJK,A722,3,3,陳光華,高階主管管理碩士學程,必修,管理學院碩士在職專班-科管組
101,1,5643,ITM5404,經濟學,9999,2IJK,A308,3,3,吳宗修,運輸與物流管理學系,選修,管理學院碩士在職專班-科管組
101,1,5644,ITM5503,專案管理,9999,6BCD,A722,3,3,李宗耀,科技管理研究所,選修,管理學院碩士在職專班-科管組
101,1,5645,ITM5530,財務管理,9999,6EFG,A701,3,3,洪志洋,科技管理研究所,必修,管理學院碩士在職專班-科管組
101,1,5646,ITM5541,企業政策與策略管理,9999,2IJK,A701,3,3,徐作聖,科技管理研究所,必修,管理學院碩士在職專班-科管組
101,1,5647,IOM5010,智慧財產權法,9999,4IJK,MB210,3,3,劉尚志,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5649,ITL5361,美國民事訴訟法,9999,3IJK,MB,3,3,王敏銓,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5650,ITL5369,新興科技概論(一),9999,2IJ,TD406,2,2,張志堅,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5651,ITL5391,法學論文寫作與研究方法,9999,6BCD,A104,3,3,劉尚志,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5652,ITL5427,法律與管制經濟學,9999,1IJK,TD406,3,3,胡均立,經營管理研究所,選修,管理學院碩士在職專班-科法組
101,1,5653,ITL5430,民事訴訟法(一),9999,1IJK,MB,3,3,許美麗,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5654,ITL5437,憲法,9999,2IJK,A104,3,3,王立達,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5656,ITL5440,刑事訴訟法(一),9999,4IJK,MB,3,3,邱忠義,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5657,ITL5454,刑法分則,9999,5IJK,ES806,3,3,林志潔,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5658,ITL5455,民法債編總論,9999,6FGH,A104,3,3,薛景文,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5659,ITL5473,白領犯罪與經濟刑法,9999,6FGH,MB,3,3,林志潔,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5660,ILS5102,加速器工程,9999,5EFG,M222,3,3,黃清鄉,電子物理學系,選修,加速器光源科技與應用碩士學位學程
101,1,5661,ITL5550,專題討論(一),9999,6XE,A104,0,1,林欣柔,科技法律研究所,必修,管理學院碩士在職專班-科法組
101,1,5662,ITL5561,專利撰寫申請與審查,9999,5IJK,MB,3,3,劉尚志,科技法律研究所,選修,管理學院碩士在職專班-科法組
